RS No.,Company Name,Business Registration No.,Registered Address,Office Contact Number,Office Fax Number,Office E-mail,Date of Registration,Expiry Date of Current Registration,Registered Trades (Code :: Specialty)
R004003,Hung Wing Engineering Machinery Limited,31343857,"Room 2510, Po Yan House, Po Lam Estate, Tseung Kwan O, N.T.",90393576,90393576,info@hung-wing.com,2 Jun 2024,1 Jun 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R004006,Tung Lee Engineering Co.,37574852,"Room 11, 17/F, Tuen Mun Central Square, 22, Hoi Wing Road, Tuen Mun, N.T.",28021288,23526740,kalok.liu@tledl.com,2 Jun 2024,1 Jun 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R004059,Kong Hing Engineering Company,31849829,"Room 1108, Tin Cheung House, Tin Ping Estate, Sheung Shui, N.T.",24751903,24798895,konghingco@yahoo.com.hk,2 Jun 2024,1 Jun 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R004092,Dickie's Engineering Company Limited,34079320,"3/F, Cosco Tower Grand Millennium Plaza, 183, Queen's Road Central, Central and Western, HK",92640274,39059800,lee@dickie.biz,23 Jun 2025,22 Jun 2028,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Others(Waterworks)
R004093,Lam Yeung Engineering Co,18210142,"Room 2304, 23/F, Block K, Yu Ting House, Yu Chui Court, Shatin, N.T.",26685309,,lamshuiyeung@hotmail.com,23 Jun 2024,22 Jun 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R004101,Siu Fai Engineering Limited,36404549,"Room 06, 39/F, Cable TV Tower, 9, Hoi Shing Road, Tsuen Wan, N.T.",25119822,25119832,siufaico@yahoo.com.hk,21 Aug 2025,20 Aug 2028,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Tunnel Works )
R004130,C & H Engineering Company Limited,32288751,"Room D, 16/F, Kings Wing Plaza 1, No. 3, On Kwan Street, Shatin, N.T.",26354488,26354477,admin@candh-eng.com.hk,21 Aug 2024,20 Aug 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Others(Tunnel Works )
R004225,Ken Shing Construction Company Limited,18995881,"DD103, Lot 233 BRP, Ko Po Tsuen, Kam Tin, Yuen Long, N.T.",24964398,24964798,admin@kenshingccl.com,18 Dec 2025,17 Dec 2028,01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Waterworks)
R004278,Toko Construction & Machinery Limited,38302547,"Room G, 8/F, Kings Wing Plaza 2, No. 1, On Kwan Street, Shatin, N.T.",26351780,26473998,wendy.cheung@tokoconstruction.com.hk,29 Jan 2026,28 Jan 2029,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R004313,Ming Yiu Engineering Co.,32160967,"Room 7, 14/F, Tong Fu House, Tong Ming Court, Sai Kung, NT",51188460,,mingyiueng888@gmail.com,3 May 2023,2 May 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Pipe Jacking) | 01.09 General Civil Works :: Others(Waterworks) | 04.04 Hoarding
R004341,Yue Sing Construction Engineering Limited,31843645,"Room G, 34/F, Block 4, Affluence Garden, 33, Tsing Chung Koon Road, Tuen Mun, N.T.",94245058,24542860,yuesingco@yahoo.com.hk,3 May 2026,2 May 2029,01.09 General Civil Works :: Earthwork
R004605,Penta Circle Construction Company Limited,50404036,"Rooms A-B, 25/F, King Palace Plaza, 55, King Yip Street, Kwun Tong, Kowloon",34848861,,info@pentacircle.com.hk,6 Jul 2026,5 Jul 2029,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation | 04.04 Hoarding
R004623,Ying Cheong Construction Company Limited,34887995,"Flat 11, 14/F, Harry Industrial Building, 49-51, Au Pui Wan Street, Fo Tan, Sha Tin, NT",26880191,26880193,yingcheongltd@yahoo.com.hk,12 Aug 2023,11 Aug 2026,01.09 General Civil Works :: Earthwork
R004681,Yee Hop Construction Company Limited,21548976,"Room 04-06, 11/F, Nan Fung Commercial Centre, 19, Lam Lok Street, Kowloon Bay, Kowloon",39738068,21569223,CONSTRUCTION@YEE-HOP.COM.HK,22 Sep 2023,21 Sep 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R004716,Kau Kee Civil Engineering Limited,34875487,"Room 5A21, 5/F, Pak Fook Industrial Building, 615-617, Tai Nan West Street, Lai Chi Kok, Kowloon",26232816,24409289,smoothgain@hotmail.com,22 Sep 2023,21 Sep 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R004992,Hin Sum Engineering Company Limited,31407144,"Unit 05, 9/F, Ocean Building, 80, Shanghai Street, Kowloon",27808332,27838282,engineering@hinsum.com.hk,5 Nov 2023,4 Nov 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R005168,"Yuk Shing Engineering Co., Limited",19903299,"Room 2403, 24/F, New Trend Centre, 704, Prince Edward Road East, Wong Tai Sin, Kowloon",23931018,30108186,info@yukshing.com.hk,23 Nov 2023,22 Nov 2026,01.09 General Civil Works :: Earthwork
R005205,Hang Kong Engineering Limited,52816683,"Flat D, 17/F, Block 7, Lung Mun Oasis, Tuen Mun, New Territories",94336175,35935778,hangkong1229@gmail.com,23 Nov 2023,22 Nov 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R005237,Yiu Man Development Company Limited,35159898,"Flat C, 2/F, Fung Hing Building, 38, Kau Yuk Road, Yuen Long, New Territories",24702318,24770033,yiumaneng@yahoo.com.hk,13 Dec 2023,12 Dec 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R005239,Action Top Engineering Limited,30992093,"56, Yim Tso Ha, Sha Tau Kok, North, N.T.",21893410,37531319,t.a.t.28.sales@gmail.com,13 Dec 2023,12 Dec 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 02.04 Window Fabrication and Installation :: Steel windows/louvers | 02.05 Shutters/Doors Fabrication and Installation :: Metal doors | 02.05 Shutters/Doors Fabrication and Installation :: Stainless steel door | 02.05 Shutters/Doors Fabrication and Installation :: Fire rated door | 04.07 Temporary Protective and Safety Measures
R005295,Leung Kai Construction Company Limited,51837422,"Room 3C, 13/F, Wang Lung Industrial Building, 11, Lung Tak Street, Tsuen Wan, N.T.",63587333,36115971,chau03073@yahoo.com.hk,13 Dec 2023,12 Dec 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R005355,Hin Sum Manpower Company Limited,31407209,"Flat 01, 9/F, Ocean Building, 80, Shanghai Street, Yau Ma Tei, Kowloon",27808332,27838282,manpower@hinsum.com.hk,5 Jan 2024,4 Jan 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R005363,Ming Suen Construction Co,22253500,"Room A, 20/F, Block 3, Golden Dragon Industrial Centre, 172-180, Tai Lin Pai Road, Kwai Chung, N.T.",23224898,23224698,admin@mingsuen.com,5 Jan 2024,4 Jan 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 04.04 Hoarding
R005384,Kong Lee Construction Company Limited,18331772,"Room 601, 6/F, Good Harvest Industrial Building, 9, Tsun Wen Road, Tuen Mun, N.T.",24594943,24642020,info@konglee.hk,5 Jan 2024,4 Jan 2027,"01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 02.02 Marble, Granite and Stone Work | 02.10 Other Finishing Trades and Components :: Signage and graphics"
R005461,Sun Kai Construction Company Limited,50204121,"Unit 2017, 20/F, Tuen Mun Parklane Square, 2, Tuen Hi Road, Tuen Mun, N.T.",24574487,24593887,sunkaieng@yahoo.com.hk,26 Jan 2024,25 Jan 2027,01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R005503,New Edex Construction Limited,36095772,"Room 806, 8/F, Po Yip Building, 23, Hing Yip Street, Kwun Tong, Kowloon",25108803,27838806,info@adexhk.com,26 Jan 2024,25 Jan 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R005513,Leung Wah Engineering Limited,31070187,"Room 1301, 13/F, Cheong Tai Building, 287-289, Reclamation Street, Yau Tsim Mong, Kowloon",26488215,26482517,leungwahengineering@gmail.com,26 Jan 2024,25 Jan 2027,01.09 General Civil Works :: Earthwork | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.03 Joinery and Carpentry :: Partition walls | 02.05 Shutters/Doors Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation :: Timber doors | 02.10 Other Finishing Trades and Components :: Miscellaneous work | 02.10 Other Finishing Trades and Components :: Others(生光地台) | 04.04 Hoarding | 04.07 Temporary Protective and Safety Measures | 04.08 Miscellaneous Cleaning Services
R005608,Hang Yue Engineering Limited,35164558,"Room 1108, 11/F, Sun Plaza, Lippo, 28, Canton Road, Tsim Sha Tsui, Kowloon",21913962,21913972,info@hang-yue.com,23 Mar 2024,22 Mar 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R005649,Wah Keung Metal Engineering Co.,33027720,"Room 1816, 18/F, Tsuen Wan Industrial Centre, 220-248, Texaco Road, Tsuen Wan, New Territories",24557979,24557737,qs@wahkeunggroup.com,23 Mar 2024,22 Mar 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork
R005690,Will Pak Engineering Limited,36465941,"Room 1808, 18/F, Lucida Industrial Building, 43-47, Wang Lung Street, Tsuen Wan, New Territories",24088723,24074203,willpakengineering@yahoo.com.hk,13 Apr 2024,12 Apr 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Marine works
R005863,Express Engineering Construction Limited,37663334,"Unit 1101, 11/F, Tower 1, Cheung Sha Wan Plaza, 833, Cheung Sha Wan Road, Sham Shui Po, Kowloon",27856477,24341126,express_eec@yahoo.com.hk,7 Jul 2024,6 Jul 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R005882,Ming Suen Construction Company Limited,37513175,"Room 05, 15/F, Wang Cheong Enterprises Centre, 65-69, Chai Wan Kok Street, Tsuen Wan, N.T.",23224898,23224698,mingsuenconstruction@gmail.com,7 Jul 2024,6 Jul 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 04.04 Hoarding
R005915,Man Fai Engineering Co.,16401082,"Flat/Rm J, 8/F, Block 1, Cheerful Garden, Siu Sai Wan Road, Chai Wan, Hong Kong",27759607,27750690,manfaiecl@yahoo.com.hk,7 Jul 2024,6 Jul 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork
R006190,Renopipe Construction (H.K.) Limited,58810201,"Room 2311, 23/F, BEA Tower, Millennium City 5, 418, Kwun Tong Road, Kwun Tong, Kowloon",39983193,39983225,nicholaswong@renopipe.com.hk,16 Jan 2026,15 Jan 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R006245,Kam Fai Construction Company Limited,59178288,"Room 3506, 35/F, Hong Keung Court, 23, Heng Lam Street, Lok Fu, Wong Tai Sin, Kowloon",96667665,,kamfaico@yahoo.com.hk,15 Feb 2026,14 Feb 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R006248,Chuen Kee Machinery & Engineering Limited,38063333,"Room 07, 19/F, One Vista Summit, 3, San Hop Lane, Tuen Mun, NT",98013608,,chuenkeemachinery@gmail.com,15 Feb 2026,14 Feb 2029,01.09 General Civil Works :: Earthwork
R006299,Kong Hing Construction Company Limited,58173017,"Room 6, 6/F, Wah Wan Industrial Building, 2, Kin Fat Lane, Tuen Mun, N.T.",24751903,24798895,konghing@skjv.com.hk,20 Mar 2026,19 Mar 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R006390,Milestone Builder Engineering Limited,32303393,"Unit B, 15/F, No. 9, Po Lun Street, Sham Shui Po, Kowloon",34285092,34285093,milestone@milestone.hk,30 May 2024,29 May 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works
R006420,New City Construction Company Limited,14353182,"Room B9, 11/F, Block B, Hong Kong Industrial Centre, 489-491, Castle Peak Road, Sham Shui Po, Kowloon",23886099,27706065,ncc@newcity.hk,26 Jun 2023,25 Jun 2026,01.02 Foundation and Piling | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 04.04 Hoarding
R006439,Shing Kee Civil Engineering Company Limited,32816483,"Room D02, 25/F, Kingsford Industrial Building, Phase 1, 26-32, Kwai Hei Street, Kwai Tsing, N.T.",23433801,23433805,skcec@netvigator.com,26 Jun 2026,25 Jun 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.10 Other Structural and Civil Trades :: Others(CCTV Inspection on Underground Drainage Pipe) | 01.10 Other Structural and Civil Trades :: Others(Lining Works)
R006582,E-Can Construction Engineering Company Limited,59247811,"Flat B, 1/F, Ming Wah Court, 20-30, Sung Chi Street, Hung Hom, Kowloon",92299938,22469227,sandy_ecan@yahoo.com,12 Sep 2023,11 Sep 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R006633,Kan Hing Engineering Company,10022810,"No.23, Keung Shan Ha Tsuen, Islands, N.T.",96672008,,jason.kanhing@gmail.com,18 Oct 2024,17 Oct 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks
R006643,Richwell General Civil Engineering Limited,52384022,"Flat/Rm K, 15/F, MG Tower, 133, Hoi Bun Road, Kwun Tong, Kowloon",98623260,37092533,rgcelhk@gmail.com,18 Oct 2024,17 Oct 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R006670,Skyrise Demolition and Engineering Company Limited trading as Skyrise Demolition,39508776,"Unit 20, 3/F, Kinetic Industrial Centre, 7, Wang Kwong Road, Kowloon Bay, Kowloon",64942765,21160504,info@skyrisedemolition.com,18 Oct 2023,17 Oct 2026,01.09 General Civil Works :: Earthwork | 01.10 Other Structural and Civil Trades :: Asbestos removal | 03.10 Lift and Escalators :: Lifts mechanical fitting | 04.04 Hoarding | 04.08 Miscellaneous Cleaning Services
R006711,Chau Mou Engineering & Co,06262212,"Room A, 11/F, Hang Seng Centre, 95-97, Tung Chau Street, Yau Tsim Mong, Kowloon",27800375,27800660,chau_mou@yahoo.com.hk,15 Nov 2023,14 Nov 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works
R006803,Fu Tong Engineering & Construction Co.,50216427,"Unit D2, 5/F, Fast Industrial Building, 658, Castle Peak Road, Kowloon",27422788,27419698,futongec@gmail.com,17 Jan 2024,16 Jan 2027,01.09 General Civil Works :: Earthwork
R006843,Yau Hing Engineering Construction Limited,36148298,"Room 20, 13/F, Well Fung Industrial Centre, 68, Ta Chuen Ping Street, Kwai Tsing, N.T.",39040752,39040753,yauhing18@gmail.com,17 Jan 2024,16 Jan 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 04.08 Miscellaneous Cleaning Services
R006854,Ever Rich Construction Engineering Limited,32939382,"27/F, Tower A, 83, King Lam Street, Sham Shui Po, Kowloon",37588711,27446937,techsec@chunwo.com,7 Feb 2024,6 Feb 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Marine works | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.06 Tanking and Waterproofing | 04.07 Temporary Protective and Safety Measures | 04.08 Miscellaneous Cleaning Services
R006869,A-City Workshop Limited,60298633,"Unit 601A, 6/F, Harbour Crystal Centre, 100, Granville Road, Tsim Sha Tsui, Kowloon",35982926,35982925,info@a-city.com.hk,7 Feb 2024,6 Feb 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works
R006878,Kit Ho Engineering Limited,60302195,"7/F, Aitken Vanson Centre, 61, Hoi Yuen Road, Kwun Tong, Kowloon",27756059,27548879,office@kitho.hk,13 Mar 2024,12 Mar 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork
